Word,HSK
爱,1
八,1
爸爸,1
吧,1
白天,1
百,1
半,1
包子,1
杯子,1
本,1
边,1
病,1
不,1
不客气,1
不要,1
菜,1
茶,1
唱,1
超市,1
车,1
吃,1
出租车,1
穿,1
打电话,1
大,1
大家,1
大学,1
大学生,1
到,1
的,1
第,1
弟弟,1
点,1
店,1
电话,1
电脑,1
电视,1
电影,1
电影院,1
东西,1
都,1
读,1
读书,1
对,1
对不起,1
多,1
多少,1
儿子,1
二,1
饭,1
饭店,1
房间,1
非常,1
飞机,1
分,1
分钟,1
高兴,1
歌,1
哥哥,1
个,1
给,1
公司,1
工作,1
狗,1
贵,1
国,1
还,1
孩子,1
汉语,1
汉字,1
好,1
好吃,1
好看,1
好听,1
好玩儿,1
号,1
喝,1
和,1
很,1
后,1
回,1
会,1
火车,1
鸡蛋,1
几,1
家,1
家人,1
见,1
件,1
饺子,1
叫,1
姐姐,1
今年,1
今天,1
九,1
觉得,1
开,1
开车,1
看,1
看病,1
看见,1
可以,1
课,1
又,1
块,1
来,1
老师,1
了,1
冷,1
里,1
两,1
零,1
六,1
妈妈,1
吗,1
买,1
卖,1
忙,1
猫,1
没关系,1
没事,1
没有,1
妹妹,1
们,1
米饭,1
面包,1
面条儿,1
明年,1
明天,1
名字,1
哪,1
哪个,1
哪里,1
哪儿,1
哪些,1
那,1
那边,1
那个,1
那里,1
那儿,1
那些,1
男,1
男朋友,1
呢,1
能,1
你,1
你好,1
你们,1
年,1
您,1
牛奶,1
女,1
女儿,1
女朋友,1
女士,1
朋友,1
便宜,1
漂亮,1
苹果,1
七,1
起床,1
千,1
前,1
钱,1
请,1
请问,1
去,1
去年,1
热,1
人,1
认识,1
日,1
三,1
商店,1
上,1
上班,1
上课,1
上午,1
上学,1
少,1
谁,1
什么,1
生病,1
十,1
时候,1
时间,1
事,1
是,1
手机,1
书,1
书店,1
水,1
水果,1
睡,1
睡觉,1
说,1
说话,1
四,1
岁,1
他,1
它,1
她,1
他们,1
它们,1
她们,1
太,1
天,1
天气,1
听,1
听见,1
同学,1
外,1
外边,1
玩,1
晚,1
晚饭,1
晚上,1
喂,1
问,1
问题,1
我,1
我们,1
五,1
午饭,1
喜欢,1
下,1
下雨,1
下班,1
下课,1
下午,1
先生,1
现在,1
想,1
小,1
小朋友,1
小时,1
小学,1
小学生,1
些,1
写,1
谢谢,1
新,1
星期,1
星期日,1
星期天,1
休息,1
学,1
学生,1
学习,1
学校,1
雪,1
要,1
也,1
一,1
衣服,1
医生,1
医院,1
一半,1
一下,1
椅子,1
一点儿,1
一些,1
有,1
有的,1
有点儿,1
有些,1
雨,1
元,1
月,1
再,1
在,1
再见,1
早,1
早饭,1
早上,1
怎么,1
怎么样,1
找,1
这,1
这边,1
这个,1
这里,1
这儿,1
这些,1
真,1
正在,1
只,1
知道,1
中国,1
中文,1
中午,1
中学,1
中学生,1
住,1
桌子,1
字,1
昨天,1
坐,1
做,1
做饭,1
啊,2
爱好,2
白色,2
班,2
帮,2
帮忙,2
包,2
本子,2
比,2
笔,2
别,2
不错,2
不好意思,2
长,2
车站,2
出,2
出国,2
出来,2
出门,2
出去,2
床,2
词,2
次,2
从,2
从小,2
错,2
打,2
打车,2
打开,2
但,2
但是,2
得,2
地,2
等,2
地铁,2
点,2
懂,2
动,2
饭馆,2
飞,2
高,2
高中,2
告诉,2
个子,2
跟,2
公交车,2
过,2
过来,2
过年,2
过去,2
过,2
还是,2
黑色,2
红茶,2
红色,2
后面,2
花,2
花2,2
画,2
坏,2
回来,2
回去,2
机场,2
机票,2
记得,2
间,2
教,2
教室,2
介绍,2
进,2
近,2
进来,2
进去,2
经常,2
酒店,2
就,2
咖啡,2
开始,2
开学,2
考,2
考试,2
可能,2
裤子,2
快,2
快乐,2
快要,2
篮球,2
累,2
离,2
里面,2
楼,2
路,2
路上,2
旅游,2
绿茶,2
绿色,2
慢,2
没意思,2
每,2
门,2
门又,2
门票,2
面,2
名,2
拿,2
那么,2
那样,2
奶茶,2
奶奶,2
男孩儿,2
鸟,2
女孩儿,2
旁边,2
跑,2
跑步,2
票,2
妻子,2
起来,2
前面,2
晴,2
球,2
让,2
肉,2
商场,2
上来,2
上面,2
上去,2
上网,2
身体,2
生日,2
时,2
事情,2
手,2
手表,2
书包,2
舒服,2
送,2
虽然,2
所以,2
疼,2
踢,2
题,2
条,2
跳舞,2
头,2
外国,2
外面,2
完,2
万,2
往,2
网上,2
忘,2
位,2
为什么,2
希望,2
洗,2
洗手间,2
下来,2
下面,2
下去,2
小孩儿,2
小时候,2
笑,2
姓,2
姓名,2
颜色,2
眼睛,2
药,2
药店,2
爷爷,2
一会儿,2
已经,2
一起,2
意思,2
阴,2
因为,2
游,2
游泳,2
有意思,2
有时,2
右,2
右边,2
鱼,2
远,2
运动,2
站,2
丈夫,2
这么,2
这样,2
着,2
正,2
周,2
准备,2
自己,2
走,2
走路,2
足球,2
最,2
左,2
左边,2
阿姨,3
矮,3
爱人,3
安静,3
安全,3
把,3
搬,3
班级,3
搬家,3
办,3
办法,3
办公室,3
半天,3
帮助,3
饱,3
报纸,3
北,3
北方,3
被,3
笔记,3
比较,3
笔记本,3
比如,3
比赛,3
必须,3
变,3
遍,3
变成,3
变化,3
表演,3
别的,3
别人,3
宾馆,3
冰,3
冰激凌,3
冰箱,3
病人,3
不但,3
不见,3
不用,3
不同,3
不久,3
不行,3
才,3
菜单,3
参加,3
草,3
草地,3
层,3
查,3
差,3
差不多,3
尝,3
常,3
常见,3
常用,3
常常,3
衬衫,3
成绩,3
城市,3
迟到,3
出发,3
出生,3
出院,3
初中,3
除了,3
船,3
春天,3
词典,3
聪明,3
打扫,3
打算,3
大概,3
大人,3
大小,3
大熊猫,3
大衣,3
带,3
担心,3
蛋糕,3
当然,3
到处,3
得,3
得到,3
得分,3
的话,3
得,3
灯,3
地,3
地点,3
地方,3
地图,3
电,3
电梯,3
电子书,3
丢,3
东,3
东北,3
东方,3
东南,3
冬天,3
懂得,3
动物,3
动物园,3
短,3
短裤,3
段,3
锻炼,3
对话,3
饿,3
而且,3
耳朵,3
耳机,3
发,3
发烧,3
发生,3
发现,3
发展,3
方便,3
方便面,3
方法,3
方向,3
房子,3
放,3
放假,3
放心,3
放学,3
分开,3
风,3
封,3
夫妻,3
服务,3
附近,3
复习,3
该,3
干净,3
感兴趣,3
感到,3
感冒,3
干,3
刚,3
刚才,3
刚刚,3
高铁,3
根据,3
更,3
公斤,3
公园,3
工作日,3
故事,3
刮,3
关,3
关机,3
关系,3
关心,3
关于,3
关注,3
国家,3
过节,3
过去,3
海,3
害怕,3
好多,3
好久,3
好像,3
号码,3
河,3
合适,3
黑板,3
红绿灯,3
后来,3
后年,3
后天,3
护照,3
花园,3
画家,3
欢迎,3
还,3
环境,3
换,3
黄色,3
回答,3
会,3
会议,3
或,3
或者,3
鸡,3
几乎,3
机会,3
极,3
急,3
记,3
季,3
季节,3
加,3
假期,3
坚持,3
检查,3
简单,3
检票,3
健康,3
见面,3
讲,3
角,3
脚,3
接,3
街,3
节,3
结婚,3
节目,3
节日,3
结束,3
解决,3
姐妹,3
借,3
斤,3
经过,3
经理,3
久,3
酒,3
旧,3
句,3
句子,3
决定,3
卡,3
开花,3
开会,3
开机,3
开心,3
看来,3
可,3
渴,3
可爱,3
可是,3
刻,3
课本,3
客人,3
课文,3
空调,3
哭,3
筷子,3
矿泉水,3
来自,3
蓝,3
老,3
老人,3
离开,3
礼物,3
历史,3
脸,3
练,3
练习,3
凉快,3
辆,3
聊,3
聊天儿,3
了解,3
邻居,3
留学,3
留学生,3
楼梯,3
路边,3
路又,3
马,3
马路,3
马上,3
满意,3
毛,3
米,3
面前,3
明白,3
名单,3
名人,3
南,3
难,3
南方,3
难过,3
难看,3
男人,3
男生,3
难题,3
难听,3
年级,3
年轻,3
牛,3
努力,3
女人,3
女生,3
爬,3
怕,3
拍照,3
盘子,3
胖,3
啤酒,3
平时,3
瓶子,3
骑,3
奇怪,3
其实,3
其他,3
起,3
起飞,3
汽车,3
铅笔,3
前年,3
前天,3
清楚,3
请假,3
请客,3
秋天,3
球场,3
裙子,3
然后,3
热情,3
认得,3
认为,3
认真,3
容易,3
如果,3
伞,3
扫,3
沙发,3
山,3
上衣,3
勺子,3
身边,3
身高,3
声,3
生活,3
生气,3
声音,3
市,3
试,3
室,3
世界,3
收,3
收到,3
受,3
瘦,3
受到,3
叔叔,3
树,3
数学,3
刷,3
双,3
水平,3
司机,3
四季,3
太阳,3
糖,3
特别,3
提高,3
体育,3
体育馆,3
甜,3
跳,3
听说,3
挺,3
同事,3
同意,3
头发,3
突然,3
图书馆,3
腿,3
外地,3
外卖,3
外语,3
完成,3
碗,3
晚点,3
晚会,3
网球,3
网站,3
忘记,3
为,3
为了,3
卫生间,3
文化,3
屋子,3
西,3
西北,3
西方,3
西瓜,3
西南,3
习惯,3
喜爱,3
洗衣机,3
洗澡,3
夏天,3
先,3
香蕉,3
相信,3
箱子,3
向,3
像,3
相机,3
小区,3
小心,3
校园,3
校长,3
鞋,3
心里,3
新年,3
新闻,3
新鲜,3
信,3
信用卡,3
行,3
行李,3
兴趣,3
休假,3
需要,3
选,3
选择,3
学期,3
牙,3
牙刷,3
羊,3
养,3
要求,3
页,3
一定,3
一共,3
一块儿,3
一样,3
以后,3
以前,3
以上,3
以外,3
以为,3
以下,3
一般,3
一边,3
一直,3
音乐,3
银行,3
银行卡,3
饮料,3
应该,3
影响,3
用,3
邮件,3
游客,3
游戏,3
邮箱,3
有关,3
有名,3
有用,3
又,3
羽毛球,3
语言,3
雨衣,3
遇到,3
遇见,3
园,3
员,3
愿意,3
越,3
月亮,3
运动会,3
运动员,3
咱们,3
脏,3
怎么办,3
怎样,3
站,3
张,3
长,3
着急,3
照,3
照顾,3
照片,3
照相,3
直到,3
只,3
纸,3
只能,3
只是,3
只要,3
只有,3
中,3
中间,3
终于,3
种,3
重要,3
周末,3
主要,3
注意,3
住院,3
字典,3
自行车,3
子,3
总,3
总是,3
嘴,3
最好,3
最后,3
最近,3
做客,3
作业,3
啊,4
爱情,4
爱心,4
安检,4
安排,4
按,4
按时,4
按照,4
白酒,4
办公,4
办理,4
办事,4
棒,4
保护,4
保证,4
抱,4
报考,4
报名,4
抱歉,4
背,4
背包,4
北部,4
倍,4
本科,4
本来,4
笨,4
鼻子,4
笔试,4
毕业,4
毕业生,4
便于,4
标准,4
表,4
表格,4
表示,4
表现,4
表扬,4
饼干,4
并,4
并且,4
播放,4
博士,4
不必,4
不便,4
不断,4
不够,4
不过,4
不论,4
步,4
部,4
不得不,4
部分,4
不管,4
不光,4
不仅,4
不满,4
部门,4
不如,4
擦,4
猜,4
材料,4
参观,4
参赛,4
餐厅,4
操场,4
厕所,4
查看,4
茶叶,4
查找,4
差点儿,4
产生,4
厂,4
场,4
超过,4
车速,4
车位,4
城,4
乘,4
成功,4
乘客,4
诚实,4
成为,4
乘坐,4
吃惊,4
迟,4
重,4
重新,4
出差,4
出又,4
出现,4
出行,4
出租,4
厨房,4
厨师,4
窗,4
窗户,4
吹,4
词语,4
此,4
此次,4
此外,4
从此,4
从来,4
从中,4
粗,4
粗心,4
村,4
存,4
错过,4
错误,4
答应,4
答,4
答案,4
达到,4
打招呼,4
打败,4
打工,4
打扰,4
打印,4
打印机,4
打折,4
打针,4
大巴,4
大大,4
大夫,4
大量,4
大赛,4
大厅,4
大约,4
大自然,4
待,4
戴,4
袋子,4
单位,4
当,4
当时,4
刀,4
导游,4
倒,4
道,4
到底,4
到来,4
道路,4
道歉,4
得意,4
登机,4
等,4
等到,4
低,4
低价,4
低温,4
低于,4
底,4
底下,4
地球,4
地址,4
点名,4
点头,4
电动车,4
电视剧,4
掉,4
调查,4
订,4
定,4
东部,4
动车,4
动作,4
读者,4
堵车,4
度假,4
肚子,4
短信,4
队,4
对方,4
对面,4
对于,4
队员,4
队长,4
顿,4
多么,4
多数,4
多样,4
而,4
儿童,4
发出,4
发送,4
法,4
法律,4
翻译,4
烦,4
烦恼,4
反对,4
方面,4
方式,4
房东,4
房租,4
放弃,4
放松,4
费,4
费用,4
分数,4
分为,4
份,4
丰富,4
风景,4
否则,4
幅,4
符合,4
付,4
父母,4
父女,4
父亲,4
复印,4
复杂,4
负责,4
负责人,4
父子,4
改,4
改变,4
干,4
干杯,4
赶,4
敢,4
感,4
感动,4
赶紧,4
